弹幕id,弹幕所处位置,弹幕发送时间,弹幕内容,态度,得分
A1221103241371281152,33:20,2023-01-01 18:21:27,觉悟,积极,0.8925924301147461
A1221103241446778624,32:49,2023-01-01 18:13:01,当然比亚迪,积极,0.9840131998062134
A1221103241505498880,32:53,2023-01-01 17:26:07,换句话说“没把它放在眼里”,消极,0.9984820485115052
A1221103241580996352,32:43,2023-01-01 17:25:29,燃起来了,积极,0.8953893184661865
A1221103241639716608,12:12,2023-01-01 14:48:04,我靠，肉疼,消极,0.9976288676261902
A1221103241706825472,11:30,2023-01-01 14:47:33,这么贵？,消极,0.9512296319007874
A1221103241773934336,26:02,2023-01-01 14:47:06,比亚迪的云轨也很厉害,积极,0.9751884341239928
A1221103241841043200,25:18,2023-01-01 14:46:18,眼光毒辣,消极,0.880034327507019
A1221103241916540672,24:55,2023-01-01 14:45:55,知错就改,消极,0.7523446083068848
A1221103241983649536,24:35,2023-01-01 14:45:36,整顿了,积极,0.5328459143638611
A1221103242042369792,54:25,2023-01-01 14:40:41,憨憨的直男,积极,0.984271228313446
A1221103242109478656,11:52,2023-01-01 14:40:18,不怎么样,消极,0.9989944100379944
A1221103242184976128,53:35,2023-01-01 14:39:36,寇可往，我亦可往！,积极,0.7812722325325012
A1221103242252084992,54:18,2023-01-01 14:39:02,务实的人,积极,0.7681902647018433
A1221103242327582464,51:03,2023-01-01 14:35:46,弯道超车,消极,0.7230205535888672
A1221103242394691328,48:19,2023-01-01 14:33:02,好,积极,0.5925006866455078
A1221103242478577408,46:42,2023-01-01 14:31:20,海豹太帅了,消极,0.5700652599334717
A1221103242554074880,46:32,2023-01-01 14:31:10,争气车,积极,0.950350821018219
A1221103242621183744,46:09,2023-01-01 14:30:47,这么猛吗,消极,0.8560843467712402
A1221103242755401472,45:50,2023-01-01 14:30:28,揭竿而起,消极,0.7477626800537109
A1221103242822510336,45:44,2023-01-01 14:30:22,反他娘的,消极,0.9766227006912231
A1221103242898007808,45:36,2023-01-01 14:30:14,州长？,积极,0.7909168601036072
A1221103242973505280,45:26,2023-01-01 14:30:04,确实，离不开国家支持,积极,0.94631826877594
A1221103243132888832,00:54,2023-01-01 14:29:36,打脸了,消极,0.9887999296188354
A1221103243199997696,02:33,2023-01-01 14:29:21,这原生家庭，说是坏还是好,消极,0.8583770990371704
A1221103243275495168,02:37,2023-01-01 14:29:04,长兄如父长嫂如母,积极,0.5412961840629578
A1221103243409712896,02:14,2023-01-01 14:28:41,董子健,积极,0.824787437915802
A1221103243485210368,02:09,2023-01-01 14:28:35,少年班,积极,0.5784578919410706
A1221103243552319232,01:55,2023-01-01 14:28:22,网文开头啊,积极,0.8532091379165649
A1221103243611039488,02:59,2023-01-01 14:28:10,年轻有为,积极,0.9018399119377136
A1221103243686536960,02:52,2023-01-01 14:28:02,《大地惊雷》的BGM！,积极,0.714773416519165
A1221103243812366080,02:40,2023-01-01 14:27:50,地久天长？,积极,0.9477621912956238
A1221103243887863552,03:08,2023-01-01 14:27:40,宋运辉跟王传福还真有点像,消极,0.6209208965301514
A1221103244013692672,03:25,2023-01-01 14:27:25,大江大河,积极,0.9711714386940002
A1221103244139521792,03:18,2023-01-01 14:27:03,人家的26岁,消极,0.7900911569595337
A1221103244273739520,22:46,2023-01-01 14:26:18,没有一家公司是十全十美的,消极,0.8961101174354553
A1221103244340848384,22:29,2023-01-01 14:26:00,这就不地道了,消极,0.9929199814796448
A1221103244416345856,19:33,2023-01-01 14:25:44,又来一波？,消极,0.565861165523529
A1221103244483454720,18:20,2023-01-01 14:25:31,双赢,积极,0.9424773454666138
A1221103244558952192,18:14,2023-01-01 14:25:26,还有的谈哈哈,积极,0.9929863810539246
A1221103244651226880,17:53,2023-01-01 14:25:05,中国对苏联也是这态度,消极,0.9156334400177002
A1221103244743501568,17:35,2023-01-01 14:24:46,你有本事，对手也会尊重你,积极,0.7386806011199951
A1221103244877719296,15:37,2023-01-01 14:23:44,霸气,积极,0.5515410900115967
A1221103244944828160,15:30,2023-01-01 14:23:37,独立自主的重要性,积极,0.5778911113739014
A1221103245028714240,15:20,2023-01-01 14:23:27,人间清醒,积极,0.9402965307235718
A1221103245095823104,15:10,2023-01-01 14:23:17,有一说一，博世确实厉害,积极,0.5885307192802429
A1221103245171320576,26:39,2023-01-01 14:22:54,奥迪现在也在努力跟上形势,积极,0.9835392236709596
A1221103245238429440,26:18,2023-01-01 14:22:34,钱老全能式人物啊,积极,0.7710039019584656
