弹幕id,弹幕所处位置,弹幕发送时间,弹幕内容,态度,得分
A1150943824529692416,30:34,2022-09-27 23:59:55,我选特斯拉，跟林志颖交朋友,积极,0.9412298798561096
A1150943706694761472,17:04,2022-09-27 23:59:41,笑死，哈哈哈哈,积极,0.9218413829803467
A1150943598809184256,09:24,2022-09-27 23:59:28,说好看的 一定没有基本的审美素养………,消极,0.9887256026268005
A1150943565959291136,06:22,2022-09-27 23:59:24,车撞坏了，修改来更贵了,消极,0.9898747205734253
A1150943480814881280,34:01,2022-09-27 23:59:14,有发召回啊,消极,0.7338203191757202
A1150943472853793792,10:00,2022-09-27 23:59:13,benz：我不背锅,消极,0.888982892036438
A1150943470027169024,33:21,2022-09-27 23:59:13,比亚迪没ota的,消极,0.5120545029640198
A1150943402767100416,35:11,2022-09-27 23:59:05,绷不住。。。,消极,0.9942886829376221
A1150943262970853632,14:46,2022-09-27 23:58:48,前面的，没来过没有发言权，这个天幕真的不热。不服来对线,积极,0.7449721097946167
A1150943161535993856,25:31,2022-09-27 23:58:36,那是三元锂，这是磷酸铁锂！,消极,0.9972774386405945
A1150943096650089728,12:55,2022-09-27 23:58:28,怪怪的,消极,0.9035974144935608
A1150942946661791744,09:40,2022-09-27 23:58:10,不喜欢钢琴漆，收集指纹,消极,0.9910306930541992
A1150942915690928640,17:46,2022-09-27 23:58:07,中控台没了是最不好的,消极,0.9931297898292542
A1150942904181826048,06:29,2022-09-27 23:58:05,电池结合底盘,积极,0.9325884580612183
A1150942862910016000,03:54,2022-09-27 23:58:00,特斯拉比例很奇怪,消极,0.9861937165260315
A1150942828516484352,17:06,2022-09-27 23:57:56,我们开特斯拉是要上火星的,消极,0.9178593158721924
A1150942805322162944,01:39,2022-09-27 23:57:54,感觉没有汉好看,积极,0.6088939905166626
A1150942812008081408,32:49,2022-09-27 23:57:54,我身边的特斯拉车主都不用辅助驾驶的,消极,0.5811182856559753
A1150942772438707200,17:29,2022-09-27 23:57:50,简洁,消极,0.6306329965591431
A1150942715950040064,32:16,2022-09-27 23:57:43,特师奶？,消极,0.9972713589668274
A1150942712409912320,30:51,2022-09-27 23:57:43,那个小车毕竟是大疆的技术,积极,0.8566537499427795
A1150942688452055296,21:24,2022-09-27 23:57:40,教主出来,积极,0.8435442447662354
A1150942640418601216,35:08,2022-09-27 23:57:34,美国佬流鸠嘢系咁嘎啦,消极,0.8043257594108582
A1150942615437574656,16:39,2022-09-27 23:57:31,板凳,消极,0.8758566379547119
A1150942515411911168,24:13,2022-09-27 23:57:19,确实很多人不买电车就是因为晕,消极,0.7365219593048096
A1150942480406106368,26:31,2022-09-27 23:57:15,比亚迪宋plus和e1双车主表示，比亚迪非高速能开开空调达到标称续航太正常了,积极,0.9418737292289734
A1150942333211183360,23:28,2022-09-27 23:56:57,发瘟脚 哈哈哈哈哈哈哈,消极,0.9796736240386963
A1150942250415529216,15:06,2022-09-27 23:56:47,我都钟意,积极,0.9002276062965393
A1150942134191537408,33:27,2022-09-27 23:56:34,记住 model 3是7年前的车,消极,0.9867700338363647
A1150942122799700480,11:02,2022-09-27 23:56:32,那种开大车的感觉,积极,0.8752304911613464
A1150942116810187520,23:45,2022-09-27 23:56:32,比亚迪从来都是务实家用的取向,积极,0.9974712133407593
A1150941991291537664,25:09,2022-09-27 23:56:17,广州除了日系车还有其他的？我不信,消极,0.8590664863586426
A1150941974933847296,14:34,2022-09-27 23:56:15,@我的CHR,积极,0.5738157629966736
A1150941966478031360,31:29,2022-09-27 23:56:14,睇睇几钱先啦大哥,积极,0.9817180633544922
A1150941934391500032,26:02,2022-09-27 23:56:10,汉ev两驱电耗都可以开12,积极,0.8539847135543823
