弹幕id,弹幕所处位置,弹幕发送时间,弹幕内容,态度,得分
A1224145361783172608,02:55,2023-01-06 23:58:18,比后轮转向还要收费的强百倍,积极,0.5490708351135254
A1224143705100167168,05:03,2023-01-06 23:55:01,买了买了,积极,0.9731737375259399
A1224142571019159552,03:53,2023-01-06 23:52:46,跟飞机飞控有得比了,消极,0.9972090125083923
A1224141138823305728,02:52,2023-01-06 23:49:55,厉害了,消极,0.5525858402252197
A1224140671602941696,01:43,2023-01-06 23:48:59,慢点慢点，飞起来了,积极,0.9545157551765442
A1224140635364571648,01:52,2023-01-06 23:48:55,比亚迪牛逼,消极,0.9205690622329712
A1224139117848381952,02:49,2023-01-06 23:45:54,真坦克掉头,消极,0.9887153506278992
A1224137808118329088,03:04,2023-01-06 23:43:18,有点废轮胎,消极,0.9989023208618164
A1224137584855506688,02:58,2023-01-06 23:42:51,四电机独立发力,积极,0.8571050763130188
A1224136830744604160,02:14,2023-01-06 23:41:21,趴窝一路虎,消极,0.9971408843994141
A1224135602174274304,00:09,2023-01-06 23:38:55,三体人座驾,积极,0.9960291385650635
A1224134160071988224,03:58,2023-01-06 23:36:03,这车肯定会火的，因为你不觉得他性价比不高，是因为你没达到这个体量级别的了。安全才是最重要。,积极,0.941655695438385
A1224134001795641600,04:58,2023-01-06 23:35:44,这有点战斗机飞控的意思了！早就应该这么做了,消极,0.9985798597335815
A1224133911492312576,03:54,2023-01-06 23:35:33,有钱人才在乎生命，好吗？,积极,0.9702084064483643
A1224133481895117056,00:30,2023-01-06 23:34:42,两车进四,积极,0.8157585859298706
A1224133176063255808,03:44,2023-01-06 23:34:06,不介意轮胎 介意命啊 前面两个是撒宾吗？,消极,0.9760008454322815
A1224132544828951296,02:28,2023-01-06 23:32:50,那些牧羊犬说比亚迪是爱国营销 ,消极,0.9625232815742493
A1224132261687932928,03:21,2023-01-06 23:32:17,太优雅了,积极,0.7041721343994141
A1224131596311947008,04:55,2023-01-06 23:30:57,逆天的电控,积极,0.971727192401886
A1224131521771032320,00:26,2023-01-06 23:30:49,你来真的。,消极,0.9920139908790588
A1224128394933919744,00:12,2023-01-06 23:24:36,什么仰望，我连看都不看。,消极,0.9848048686981201
A1224126347459283712,04:28,2023-01-06 23:20:32,泥地冲坡看唐就行了,积极,0.530243992805481
A1224126310423953408,01:35,2023-01-06 23:20:27,因为这直接就是最好的车（doge）,积极,0.9742790460586548
A1224125351605588224,00:55,2023-01-06 23:18:33,河里玩国产版,消极,0.5084280967712402
A1224123826841868032,00:27,2023-01-06 23:15:31,横渡台湾,消极,0.8664342761039734
A1224118533647194624,02:48,2023-01-06 23:05:00,原来GTA5原地调头是真的,消极,0.9915646314620972
A1224118222320677120,00:10,2023-01-06 23:04:23,前进四！,积极,0.9873329997062683
A1224117506302933248,02:52,2023-01-06 23:02:58,这个流弊！,消极,0.9983470439910889
A1224116430120128000,03:08,2023-01-06 23:00:49,这个废胎不,消极,0.9950843453407288
A1224115199435638784,03:54,2023-01-06 22:58:23,不带晃的,消极,0.8923816680908203
A1224114797856238592,03:06,2023-01-06 22:57:35,大G是疯狂旋转，转到哪算哪。,消极,0.9804366230964661
A1224113719810798336,04:51,2023-01-06 22:55:26,有点东西，比那些堆料的新势力强太多,消极,0.6861308813095093
A1224113021039957760,00:23,2023-01-06 22:54:03,船夫开船很合理吧,消极,0.9702258706092834
A1224111664434071808,01:27,2023-01-06 22:51:21,开到海边直接下去一圈又开回来。。。,消极,0.9968063831329346
A1224111572998573312,03:45,2023-01-06 22:51:10,见不得国产车好是不是,消极,0.6255099773406982
A1224111284052631296,00:37,2023-01-06 22:50:36,车船税派上用场啦,积极,0.8037970662117004
A1224111259683931648,03:22,2023-01-06 22:50:33,牛哇,积极,0.9496799111366272
A1224110317877951232,01:18,2023-01-06 22:48:41,谁会开电车越野啊,消极,0.7947835922241211
A1224108890665382912,01:40,2023-01-06 22:45:51,力大飞砖,消极,0.9889820218086243
A1224108241412220928,00:36,2023-01-06 22:44:33,最好别冒险 等两个,消极,0.9012079834938049
A1224107975854136832,02:07,2023-01-06 22:44:02,路虎垃圾车,消极,0.9996738433837891
A1224106756813409280,02:24,2023-01-06 22:41:36,卡宴有什么科技水平，来碰瓷U8?,消极,0.9971364736557007
A1224105703380199680,03:50,2023-01-06 22:39:31,爆胎居然都不跑偏,消极,0.9206457138061523
A1224104676832976384,05:07,2023-01-06 22:37:28,怪兽,消极,0.5553674697875977
A1224103986978833408,02:43,2023-01-06 22:36:06,大g那个原地掉头我都怕它自己掉沟里,消极,0.9097593426704407
A1224103204992670976,01:34,2023-01-06 22:34:33,都不带冲的,消极,0.9937883019447327
A1224103111384453888,03:32,2023-01-06 22:34:22,最关键的是这控制力，别的车也行能转起来，但绝没有这么丝滑,消极,0.7112701535224915
A1224102617630894848,02:34,2023-01-06 22:33:23,普通胎，水泥地。,消极,0.9951693415641785
A1224101554920136192,00:30,2023-01-06 22:31:16,比亚迪现在不缺销量,积极,0.9908137917518616
A1224101090644101376,02:21,2023-01-06 22:30:21,那些说站起来的我就问问资本家赚钱，你能多涨工资还是多分钱？天下资本家一样黑，别那爱国来消费,消极,0.9104488492012024
A1224097810992310784,02:56,2023-01-06 22:23:50,悍马EV:你礼貌吗,消极,0.9859976768493652
A1224095173068449280,00:12,2023-01-06 22:18:35,，奇瑞，比亚迪，撑起中国乘用车的脊梁,积极,0.9939128756523132
A1224094580195047680,00:44,2023-01-06 22:17:25,可以当船开,消极,0.741111159324646
A1224094058759085824,03:09,2023-01-06 22:16:23,卧槽,积极,0.8259747624397278
A1224093863052866304,02:48,2023-01-06 22:15:59,卧槽,积极,0.8259747624397278
A1224093838826621184,02:58,2023-01-06 22:15:56,这精度 太强了,积极,0.5341344475746155
A1224093388744260608,01:01,2023-01-06 22:15:03,解放台湾就靠你了，仰望。,积极,0.9534844160079956
A1224093119008787968,02:13,2023-01-06 22:14:31,对标卡宴？笑死,消极,0.7845067381858826
A1224092951689424640,01:55,2023-01-06 22:14:11,理想：“五百万以内最好的车”,积极,0.9546285271644592
A1224092870319851776,00:46,2023-01-06 22:14:01,当船开啊,消极,0.9930001497268677
A1224092517327388416,01:25,2023-01-06 22:13:19,为什么比亚迪的发布会就不强调这是什么价位以内最好的车呢。,积极,0.9899191856384277
A1224092274225648640,03:28,2023-01-06 22:12:50,买得起一百万的车的人会在乎轮胎吗,消极,0.668277382850647
A1224091776504061696,02:40,2023-01-06 22:11:51,怎么做到的,积极,0.7250087261199951
A1224091010079246080,03:51,2023-01-06 22:10:19,这个确实牛逼，船夫哥吹了很多年的，终于实现了,积极,0.5130016803741455
A1224089870243521280,00:44,2023-01-06 22:08:03,坦克,积极,0.7831171154975891
A1224089837670317568,00:15,2023-01-06 22:07:59,仰望更大的意义是搭载最先进的技术，拔高品牌形象，我认为销量不会是它最关心的因素,积极,0.7728046774864197
A1224086824046556928,03:52,2023-01-06 22:02:00,纹丝不动太牛逼了,消极,0.9948225021362305
A1224086476464392704,01:14,2023-01-06 22:01:19,洗车钱都不用花,消极,0.9170646071434021
A1224085060878453504,05:05,2023-01-06 21:58:30,牛逼牛逼,积极,0.8648413419723511
A1224084382801831424,00:30,2023-01-06 21:57:09,万一真的沉底,积极,0.509312093257904
A1224082115621344000,04:04,2023-01-06 21:52:39,如果中途能充气就好了，对轮毂有保护,积极,0.9788457155227661
A1224081652679087360,02:42,2023-01-06 21:51:44,大G那是在沙漠，比铺装路面难度小,积极,0.7011948227882385
A1224079710942985728,01:28,2023-01-06 21:47:52,帅啊,积极,0.9119603633880615
A1224079700188959232,04:11,2023-01-06 21:47:51,以前没钱买比亚迪，现在没钱买比亚迪,消极,0.9681426882743835
A1224079507921779968,01:23,2023-01-06 21:47:28,来个飞跃测试doge,积极,0.9174489378929138
A1224079264794728960,03:48,2023-01-06 21:46:59,这个是真的牛逼了,消极,0.9929034113883972
A1224079167604249600,00:59,2023-01-06 21:46:47,保险公司狂喜，拍手叫好,积极,0.9733991622924805
A1224078413493784320,02:38,2023-01-06 21:45:18,奔驰大G叫旋转陀螺,消极,0.581630289554596
A1224076922242630656,01:05,2023-01-06 21:42:20,这下车船税就缴明白了,积极,0.7532101273536682
A1224076046690093824,01:57,2023-01-06 21:40:35,这起码是300万的技术，技术无价，唯有仰望。,消极,0.8491492867469788
A1224069806614024960,01:55,2023-01-06 21:28:12,90℃转弯?,积极,0.6143025159835815
A1224069139526828288,03:20,2023-01-06 21:26:52,放心吧这种功能偶尔用不废轮胎的  而且真的怕废轮胎谁越野啊,积极,0.9961168766021729
A1224068551896279040,02:06,2023-01-06 21:25:42,印度路虎也有人吹,消极,0.9814002513885498
A1224066815538572544,00:04,2023-01-06 21:22:15,不贵，估计会卖的很好,积极,0.8916383981704712
A1224066763973816832,00:12,2023-01-06 21:22:09,虽然买不起，但还是支持比亚迪,积极,0.9965944886207581
A1224066457546342656,00:35,2023-01-06 21:21:32,前进4,积极,0.6177241802215576
A1224063699396950784,03:35,2023-01-06 21:16:03,前进四,积极,0.9321883320808411
A1224063388565390592,00:19,2023-01-06 21:15:26,这辆车就是比亚迪秀肌肉的车，这车存在的意义就是展示肌肉和定价权，因为这是目前最好的汽车，你不如U8的车就只能比U8便宜,积极,0.9370201230049133
